"IID" "pop"
"HG00096" "European"
"HG00097" "European"
"HG00099" "European"
"HG00100" "European"
"HG00101" "European"
"HG00102" "European"
"HG00103" "European"
"HG00105" "European"
"HG00106" "European"
"HG00107" "European"
"HG00108" "European"
"HG00109" "European"
"HG00110" "European"
"HG00111" "European"
"HG00112" "European"
"HG00113" "European"
"HG00114" "European"
"HG00115" "European"
"HG00116" "European"
"HG00117" "European"
"HG00118" "European"
"HG00119" "European"
"HG00120" "European"
"HG00121" "European"
"HG00122" "European"
"HG00123" "European"
"HG00125" "European"
"HG00126" "European"
"HG00127" "European"
"HG00128" "European"
"HG00129" "European"
"HG00130" "European"
"HG00131" "European"
"HG00132" "European"
"HG00133" "European"
"HG00136" "European"
"HG00137" "European"
"HG00138" "European"
"HG00139" "European"
"HG00140" "European"
"HG00141" "European"
"HG00142" "European"
"HG00143" "European"
"HG00145" "European"
"HG00146" "European"
"HG00148" "European"
"HG00149" "European"
"HG00150" "European"
"HG00151" "European"
"HG00154" "European"
"HG00155" "European"
"HG00157" "European"
"HG00158" "European"
"HG00159" "European"
"HG00160" "European"
"HG00171" "European"
"HG00173" "European"
"HG00174" "European"
"HG00176" "European"
"HG00177" "European"
"HG00178" "European"
"HG00179" "European"
"HG00180" "European"
"HG00181" "European"
"HG00182" "European"
"HG00183" "European"
"HG00185" "European"
"HG00186" "European"
"HG00187" "European"
"HG00188" "European"
"HG00189" "European"
"HG00190" "European"
"HG00231" "European"
"HG00232" "European"
"HG00233" "European"
"HG00234" "European"
"HG00235" "European"
"HG00236" "European"
"HG00237" "European"
"HG00238" "European"
"HG00239" "European"
"HG00240" "European"
"HG00242" "European"
"HG00243" "European"
"HG00244" "European"
"HG00245" "European"
"HG00246" "European"
"HG00250" "European"
"HG00251" "European"
"HG00252" "European"
"HG00253" "European"
"HG00254" "European"
"HG00255" "European"
"HG00256" "European"
"HG00257" "European"
"HG00258" "European"
"HG00259" "European"
"HG00260" "European"
"HG00261" "European"
"HG00262" "European"
"HG00263" "European"
"HG00264" "European"
"HG00265" "European"
"HG00266" "European"
"HG00267" "European"
"HG00268" "European"
"HG00269" "European"
"HG00271" "European"
"HG00272" "European"
"HG00273" "European"
"HG00274" "European"
"HG00275" "European"
"HG00276" "European"
"HG00277" "European"
"HG00278" "European"
"HG00280" "European"
"HG00281" "European"
"HG00282" "European"
"HG00284" "European"
"HG00285" "European"
"HG00288" "European"
"HG00290" "European"
"HG00304" "European"
"HG00306" "European"
"HG00308" "European"
"HG00309" "European"
"HG00310" "European"
"HG00311" "European"
"HG00313" "European"
"HG00315" "European"
"HG00318" "European"
"HG00319" "European"
"HG00320" "European"
"HG00321" "European"
"HG00323" "European"
"HG00324" "European"
"HG00325" "European"
"HG00326" "European"
"HG00327" "European"
"HG00328" "European"
"HG00329" "European"
"HG00330" "European"
"HG00331" "European"
"HG00332" "European"
"HG00334" "European"
"HG00335" "European"
"HG00336" "European"
"HG00337" "European"
"HG00338" "European"
"HG00339" "European"
"HG00341" "European"
"HG00342" "European"
"HG00343" "European"
"HG00344" "European"
"HG00345" "European"
"HG00346" "European"
"HG00349" "European"
"HG00350" "European"
"HG00351" "European"
"HG00353" "European"
"HG00355" "European"
"HG00356" "European"
"HG00357" "European"
"HG00358" "European"
"HG00360" "European"
"HG00361" "European"
"HG00362" "European"
"HG00364" "European"
"HG00365" "European"
"HG00366" "European"
"HG00367" "European"
"HG00368" "European"
"HG00369" "European"
"HG00371" "European"
"HG00372" "European"
"HG00373" "European"
"HG00375" "European"
"HG00376" "European"
"HG00378" "European"
"HG00379" "European"
"HG00380" "European"
"HG00381" "European"
"HG00382" "European"
"HG00383" "European"
"HG00384" "European"
"HG00403" "East Asian"
"HG00404" "East Asian"
"HG00406" "East Asian"
"HG00407" "East Asian"
"HG00409" "East Asian"
"HG00410" "East Asian"
"HG00419" "East Asian"
"HG00421" "East Asian"
"HG00422" "East Asian"
"HG00428" "East Asian"
"HG00436" "East Asian"
"HG00437" "East Asian"
"HG00442" "East Asian"
"HG00443" "East Asian"
"HG00445" "East Asian"
"HG00446" "East Asian"
"HG00448" "East Asian"
"HG00449" "East Asian"
"HG00451" "East Asian"
"HG00452" "East Asian"
"HG00457" "East Asian"
"HG00458" "East Asian"
"HG00463" "East Asian"
"HG00464" "East Asian"
"HG00472" "East Asian"
"HG00473" "East Asian"
